Ind,Sire,Dam
LV_U336,009_D_sire,009_4_dam
LV_U382,009_D_sire,009_4_dam
LV_U413,009_D_sire,009_4_dam
LV_U424,009_D_sire,009_4_dam
LV_U439,009_D_sire,009_4_dam
LV_U441,009_D_sire,009_4_dam
LV_U444,009_D_sire,009_4_dam
LV_U447,009_D_sire,009_4_dam
LV_U448,009_D_sire,009_4_dam
LV_U454,009_D_sire,009_4_dam
LV_U455,009_D_sire,009_4_dam
LV_U457,009_D_sire,009_4_dam
LV_U517,009_D_sire,009_4_dam
LV_U527,009_D_sire,009_4_dam
LV_U539,009_D_sire,009_4_dam
LV_U547,009_D_sire,009_4_dam
LV_U549,009_D_sire,009_4_dam
LV_U592,009_D_sire,009_4_dam
LV_U597,009_D_sire,009_4_dam
LV_U604,175_C_sire,175_3_dam
LV_U655,175_C_sire,175_3_dam
LV_U687,175_C_sire,175_3_dam
LV_U720,175_C_sire,175_3_dam
YI_F807,RR09_sire,RR44_dam
YI_G190,RR10_sire,RR47_dam
YI_G265,RR10_sire,RR47_dam
YI_G291,RR10_sire,RR47_dam
YI_G307,RR10_sire,RR47_dam
YI_G508,NA_sire,N01_dam
YI_G521,NA_sire,N01_dam
YI_G533,NA_sire,N01_dam
YI_G546,NA_sire,N01_dam
YI_G555,NA_sire,N01_dam
YI_G568,NA_sire,N01_dam
YI_G662,NA_sire,N01_dam
YI_G665,NA_sire,N01_dam
YI_G705,NA_sire,N01_dam
YI_G706,NA_sire,N01_dam
YI_G759,NA_sire,N01_dam
YI_G889,NA_sire,N01_dam
YI_G918,NA_sire,N01_dam
YI_G937,NA_sire,N01_dam
YI_G996,NA_sire,N01_dam
YI_H027,ND_sire,N10_dam
YI_H033,ND_sire,N10_dam
YI_H052,ND_sire,N10_dam
YI_H082,ND_sire,N10_dam
YI_H116,ND_sire,N10_dam
YI_H144,ND_sire,N10_dam
YI_H147,ND_sire,N10_dam
YI_H155,ND_sire,N10_dam
YI_H171,ND_sire,N10_dam
YI_H189,ND_sire,N10_dam
YI_H307,ND_sire,N10_dam
YI_H373,ND_sire,N10_dam
YI_H415,ND_sire,N10_dam
YI_H494,ND_sire,N10_dam
YI_H791,A14096_A_sire,A14096_1_dam
YI_H873,A14096_A_sire,A14096_1_dam
YI_H875,A14096_A_sire,A14096_1_dam
YI_I092,096_D_sire,096_4_dam
YI_I243,096_D_sire,096_4_dam
YI_I289,096_D_sire,096_4_dam
YI_I312,096_D_sire,096_4_dam
YI_I321,096_D_sire,096_4_dam
YI_I431,096_D_sire,096_4_dam
YI_I452,096_D_sire,096_4_dam
YI_I480,096_D_sire,096_4_dam
YI_I534,096_D_sire,096_4_dam
YI_I541,096_D_sire,096_4_dam
YI_I587,096_D_sire,096_4_dam
YI_I628,DC_sire,C20_dam
YI_I664,DC_sire,C20_dam
YI_I673,DC_sire,C20_dam
YI_I752,DC_sire,C20_dam
YI_I823,DC_sire,C20_dam
YI_I833,DC_sire,C20_dam
YI_I858,DC_sire,C20_dam
YI_I870,DC_sire,C20_dam
YI_I921,DC_sire,C20_dam
YI_I933,DC_sire,C20_dam
YI_I992,DC_sire,C20_dam
YI_J021,099_B_sire,099_2_dam
YI_J050,099_B_sire,099_2_dam
YI_J058,099_B_sire,099_2_dam
YI_J071,099_B_sire,099_2_dam
YI_J073,099_B_sire,099_2_dam
YI_J077,099_B_sire,099_2_dam
YI_J093,099_B_sire,099_2_dam
YI_J155,099_B_sire,099_2_dam
YI_J243,099_B_sire,099_2_dam
YI_J291,099_B_sire,099_2_dam
YI_J317,099_B_sire,099_2_dam
YI_J400,099_B_sire,099_2_dam
YI_J432,099_B_sire,099_2_dam
YI_J477,099_B_sire,099_2_dam
YI_J544,YD_sire,Y10_dam
YI_J618,YD_sire,Y10_dam
YI_J722,YD_sire,Y10_dam
YI_J730,YD_sire,Y10_dam
YI_J742,YD_sire,Y10_dam
YI_J832,YD_sire,Y10_dam
ZI_V049,RC_sire,R19_dam
ZI_V134,RC_sire,R19_dam
ZI_V151,RC_sire,R19_dam
ZI_V198,RC_sire,R19_dam
ZI_V224,RC_sire,R19_dam
ZI_V232,RC_sire,R19_dam
ZI_V292,RC_sire,R19_dam
ZI_W004,CA_sire,Y15_dam
ZI_W238,CD_sire,J12_dam
ZI_W251,CD_sire,J12_dam
ZI_W286,CD_sire,J12_dam
ZI_W314,CD_sire,J12_dam
ZI_W320,CD_sire,J12_dam
ZI_W321,CD_sire,J12_dam
ZI_W327,CD_sire,J12_dam
ZI_W329,CD_sire,J12_dam
ZI_W353,CD_sire,J12_dam
ZI_W397,CD_sire,J12_dam
ZI_W446,CC_sire,Y10_dam
ZI_W606,F41132_A_sire,F41132_1_dam
ZI_W814,CA_sire,Y17_dam
ZI_W817,CA_sire,Y17_dam
ZI_W823,CA_sire,Y17_dam
ZI_W824,CA_sire,Y17_dam
ZI_W838,CA_sire,Y17_dam
ZI_W902,CA_sire,Y17_dam
ZI_X013,CD_sire,D27_dam
ZI_X050,CD_sire,D27_dam
ZI_X116,CD_sire,D27_dam
ZI_X172,CD_sire,D27_dam
ZI_X192,CD_sire,D27_dam
ZI_X200,CD_sire,C04_dam
ZI_X205,CD_sire,C04_dam
ZI_X207,CD_sire,C04_dam
ZI_X302,CD_sire,C04_dam
ZI_X306,CD_sire,C04_dam
ZI_X317,CD_sire,C04_dam
ZI_X346,CD_sire,C04_dam
ZI_X350,CD_sire,C04_dam
ZI_X372,CD_sire,C04_dam
ZI_X378,CD_sire,C04_dam
ZI_X382,CD_sire,C04_dam
ZI_X396,CD_sire,C04_dam
ZI_X403,RR03_sire,RR11_dam
ZI_X420,RR03_sire,RR11_dam
ZI_X504,RR03_sire,RR11_dam
ZI_X519,RR03_sire,RR11_dam
ZI_X527,RR03_sire,RR11_dam
ZI_X573,RR03_sire,RR11_dam
ZI_X575,RR03_sire,RR11_dam
ZI_X580,RR03_sire,RR11_dam
ZI_X640,GG03_sire,GG17_dam
ZI_X664,GG03_sire,GG17_dam
ZI_X822,1727_C_sire,1727_3_dam
ZI_X928,1727_C_sire,1727_3_dam
ZI_Y312,1727_D_sire,1727_4_dam
ZI_Y343,1727_D_sire,1727_4_dam
ZI_Y372,1727_D_sire,1727_4_dam
ZI_Y378,1727_D_sire,1727_4_dam
ZI_Y412,HH01_sire,HH01_dam
ZI_Y431,HH01_sire,HH01_dam
ZI_Y432,HH01_sire,HH01_dam
ZI_Y437,HH01_sire,HH01_dam
ZI_Y441,HH01_sire,HH01_dam
ZI_Y477,HH01_sire,HH01_dam
