"AnimalID","Sire","Dam","shell_color","poolID","famID","ABT","WW","ABT_t","gender","ABT_t_converted"
"HU_B967","RA_sire","N14_dam",1,7,"fam_36",27.86,70.02,-1.191,1,-1.20628659023402
"HU_C203","DC_sire","C07_dam",1,3,"fam_47",31.39,31.49,1.4355,1,1.43504636669201
"HU_C211","DC_sire","C07_dam",1,3,"fam_47",32,19.34,2.3687,2,2.37569523050188
"HU_C225","DC_sire","C07_dam",1,3,"fam_47",27.85,40.96,-1.2074,2,-1.22297912833447
"HU_C226","DC_sire","C07_dam",1,3,"fam_47",31.25,53,1.3565,1,1.3558112351118
"HU_C230","DC_sire","C07_dam",1,3,"fam_0",31.32,0,1.4029,1,1.40229214369108
"HU_C238","DC_sire","C07_dam",1,3,"fam_47",30.33,53.29,0.7172,1,0.715140398915122
"HU_C248","DC_sire","C07_dam",1,3,"fam_47",30.88,53.88,1.1439,1,1.14264813104062
"HU_C272","DC_sire","C07_dam",1,3,"fam_47",29.07,27.04,-0.2615,2,-0.266558752913145
"HU_C325","DC_sire","C07_dam",1,7,"fam_47",30.26,29.78,0.6642,2,0.662014727093417
"HU_C351","DC_sire","C07_dam",1,7,"fam_47",28.19,49.95,-0.9574,2,-0.968484316887792
"HU_C406","JD_sire","C09_dam",1,3,"fam_49",27.76,48.91,-1.2943,1,-1.31208799564572
"HU_C434","JD_sire","C09_dam",1,3,"fam_49",30.64,37.26,0.9574,1,0.955802599996442
"HU_C441","JD_sire","C09_dam",1,3,"fam_49",29.04,39.88,-0.278,2,-0.283139290759389
"HU_C454","JD_sire","C09_dam",1,3,"fam_49",30.68,53.99,0.9797,2,0.978098766834324
"HU_C493","JD_sire","C09_dam",1,4,"fam_49",29.16,24.75,-0.2083,2,-0.213149711736448
"HU_C602","JE_sire","C12_dam",1,3,"fam_51",31.05,28.47,1.2282,2,1.22720587213451
"HU_C622","JE_sire","C12_dam",1,3,"fam_51",31.4,34.08,1.464,1,1.46356770505629
"HU_C631","JE_sire","C12_dam",1,3,"fam_51",31.21,20.78,1.3224,2,1.32158694642802
"HU_C645","JE_sire","C12_dam",1,3,"fam_51",30.11,41.42,0.5128,2,0.510255304200318
"HU_C678","JE_sire","C12_dam",1,3,"fam_51",30.75,29.97,1.0705,2,1.06908394106112
"HU_C681","JE_sire","C12_dam",1,3,"fam_51",31.82,31.11,1.9116,2,1.91312162394008
"HU_C776","JE_sire","C12_dam",1,7,"fam_51",31.08,38.65,1.2584,1,1.25742791547378
"HU_C784","JE_sire","C12_dam",1,7,"fam_51",29.07,52.11,-0.2615,1,-0.266558752913145
"HU_C799","JE_sire","C12_dam",1,7,"fam_51",29.13,64.87,-0.2246,2,-0.229511559029543
"HU_C852","096_B_sire","096_2_dam",1,3,"fam_55",29.51,37.3,0.0876,1,0.0839187659629912
"HU_C904","096_B_sire","096_2_dam",1,7,"fam_55",29.07,43.94,-0.2615,1,-0.266558752913145
"HU_C911","096_B_sire","096_2_dam",1,7,"fam_55",27.01,71.78,-2.527,1,-2.82169422710145
"HU_C988","096_B_sire","096_2_dam",1,7,"fam_55",29.99,58.37,0.4349,2,0.432187566137413
"HU_C994","096_B_sire","096_2_dam",1,7,"fam_55",29.28,62.07,-0.1176,2,-0.122041385870038
"HU_D069","JE_sire","C25_dam",1,4,"fam_61",29.59,27.19,0.1578,1,0.154280546851203
"HU_D105","JE_sire","C25_dam",1,7,"fam_61",30.36,24.91,0.7406,2,0.738532240583601
"HU_D142","JE_sire","C25_dam",1,7,"fam_61",28.06,35.2,-1.019,1,-1.03098517765919
"HU_D146","JE_sire","C25_dam",1,7,"fam_61",28.83,45.82,-0.4284,1,-0.434379696809412
"HU_D186","JE_sire","C25_dam",1,7,"fam_61",27.69,58.1,-1.3417,1,-1.36083170829032
"HU_D207","JF_sire","C27_dam",1,7,"fam_65",27.36,40.59,-1.6746,2,-1.70830578835784
"HU_D258","JF_sire","C27_dam",1,3,"fam_65",28.31,67,-0.8187,1,-0.828048008175037
"HU_D283","JF_sire","C27_dam",1,7,"fam_65",31.59,0,1.6431,2,1.64331163934729
"HU_D298","JF_sire","C27_dam",1,4,"fam_65",28.33,14.56,-0.8077,2,-0.816852476771834
"HU_D350","JF_sire","C27_dam",1,7,"fam_65",29.39,75.36,-0.0298,1,-0.03393380488167
"HU_D358","JF_sire","C27_dam",1,7,"fam_65",30.02,0,0.4503,2,0.447576870646752
"HU_D382","JF_sire","C27_dam",1,7,"fam_65",28.98,92.26,-0.3112,2,-0.316540411699714
"HU_D392","JF_sire","C27_dam",1,7,"fam_65",31.57,57.09,1.6059,2,1.60597112358835
